,act_id,act_label,start_time,end_time,duration,feasible_start,feasible_end,flex_early,flex_late,flex_short,flex_long,label,location,loc_id,mode,group
0,1,dusk,19.0,24.0,5.0,0,24,F,M,F,F,dusk @ 0 (driving),"(46.6131, 6.50688)",0,driving,dusk
1,1,dusk,19.0,24.0,5.0,0,24,F,M,F,F,dusk @ 0 (bicycling),"(46.6131, 6.50688)",0,bicycling,dusk
2,1,dusk,19.0,24.0,5.0,0,24,F,M,F,F,dusk @ 0 (transit),"(46.6131, 6.50688)",0,transit,dusk
3,1,dusk,19.0,24.0,5.0,0,24,F,M,F,F,dusk @ 0 (walking),"(46.6131, 6.50688)",0,walking,dusk
4,2,escort,9.338690355288994,18.492468639769022,6.413815517788306,1,20,R,R,R,R,escort @ 0 (driving),"(46.6131, 6.50688)",0,driving,escort
5,2,escort,9.338690355288994,18.492468639769022,6.413815517788306,1,20,R,R,R,R,escort @ 0 (bicycling),"(46.6131, 6.50688)",0,bicycling,escort
6,2,escort,9.338690355288994,18.492468639769022,6.413815517788306,1,20,R,R,R,R,escort @ 0 (transit),"(46.6131, 6.50688)",0,transit,escort
7,2,escort,9.338690355288994,18.492468639769022,6.413815517788306,1,20,R,R,R,R,escort @ 0 (walking),"(46.6131, 6.50688)",0,walking,escort
8,0,dawn,0.0,9.5,9.5,0,24,F,M,F,F,dawn @ 0 (driving),"(46.6131, 6.50688)",0,driving,dawn
9,0,dawn,0.0,9.5,9.5,0,24,F,M,F,F,dawn @ 0 (bicycling),"(46.6131, 6.50688)",0,bicycling,dawn
10,0,dawn,0.0,9.5,9.5,0,24,F,M,F,F,dawn @ 0 (transit),"(46.6131, 6.50688)",0,transit,dawn
11,0,dawn,0.0,9.5,9.5,0,24,F,M,F,F,dawn @ 0 (walking),"(46.6131, 6.50688)",0,walking,dawn
